source_file,source_filename,processor,service_type,company_account,merchant_account,psp_reference,payment_method,record_date,dispute_date,dispute_date_timezone,dispute_end_date,dispute_end_date_timezone,dispute_amount,dispute_currency,dispute_amount_usd,fx_rate_used,scheme_code,reason_code,record_type,dispute_psp_reference,dispute_reason,risk_scoring,payment_date,payment_date_timezone,payment_amount,shopper_interaction,shopper_country,iban,bic,issuer_country,issuer_id,3d_directory_response,3d_authentication_response,cvc2_response,avs_response,dispute_auto_defended
Adyen/TenMexMerEcom/dispute_report_2024_12_16.csv,dispute_report_2024_12_16.csv,Adyen,TenMexMerEcom,TenLifManLim,TenBR1,ZBL8TDDF6CSSZWX3,visa,2024-12-16,2024-12-05 13:56:45,GMT,2024-12-23 13:56:45,GMT,990.79,EUR,1065.37,0.93,visa,13.1,Chargeback,QZ42ZLKT9BNRMGZ3,Merchandise/Services Not Received,-25,2024-09-04 21:42:30,BST,990.79,Ecommerce,BR,,,BR,425850,Y,,1,3,False
Adyen/TenMexMerEcom/dispute_report_2024_05_31.csv,dispute_report_2024_05_31.csv,Adyen,TenMexMerEcom,TenLifManLim,TenCHMoto,NTXWLJG79HBLX453,mc,2024-05-31,2024-05-31 13:42:32,BST,2024-11-02 14:50:51,GMT,2808.76,GBP,3688.46,0.7615,mc,6,NotificationOfFraud,BW7T62WMPM5DP4G2,Card Not Present Fraud,40,2024-05-02 14:50:51,BST,2808.76,Moto,,,,AE,537707,,,1,3,False
Adyen/TenMexMerEcom/dispute_report_2024_10_04.csv,dispute_report_2024_10_04.csv,Adyen,TenMexMerEcom,TenLifManLim,TenUKMoto,J6PVJMTR93PBN3Z3,mc,2024-10-04,2024-10-04 16:08:53,BST,2024-11-13 16:08:53,GMT,1188.09,USD,1188.09,1.0,mc,4837,NotificationOfChargeback,ZT2464T4CZGNTCX3,No Cardholder Authorisation,80,2024-09-23 18:54:22,BST,887.17,Moto,,,,BR,512215,,,1,3,False
Adyen/TenMexMerEcom/dispute_report_2024_05_21.csv,dispute_report_2024_05_21.csv,Adyen,TenMexMerEcom,TenLifManLim,TenUK1_USD,JK2PCNSWFXNQ4932,mc,2024-05-21,2024-05-21 19:11:19,BST,2024-08-23 10:05:56,BST,89.85,EUR,94.76,0.9482,mc,6,NotificationOfFraud,RC33CQ5CPM5DP4G2,Card Not Present Fraud,15,2024-02-23 10:05:56,GMT,89.85,Ecommerce,US,,,MY,552115,,,1,3,False
Adyen/TenMexMerEcom/dispute_report_2024_12_05.csv,dispute_report_2024_12_05.csv,Adyen,TenMexMerEcom,TenLifManLim,TenBR1,ZBL8TDDF6CSSZWX3,visa,2024-12-05,2024-12-05 13:56:45,GMT,2024-12-23 13:56:45,GMT,990.79,JPY,6.83,144.99,visa,13.1,NotificationOfChargeback,QZ42ZLKT9BNRMGZ3,Merchandise/Services Not Received,-25,2024-09-04 21:42:30,BST,990.79,Ecommerce,BR,,,BR,425850,Y,,1,3,False
Adyen/TenMexMerEcom/dispute_report_2024_07_19.csv,dispute_report_2024_07_19.csv,Adyen,TenMexMerEcom,TenLifManLim,TenUKMoto,XLWZF42WM3GZ2C32,visa,2024-07-19,2024-07-19 16:26:32,BST,2024-08-06 16:26:32,BST,1176.72,EUR,1261.9,0.9325,visa,12.6.1,NotificationOfChargeback,BW7524DBWMSKN3X3,Duplicate Processing,40,2024-06-26 01:25:22,BST,1176.72,Moto,,,,DO,473883,,,1,3,False
Adyen/TenMexMerEcom/dispute_report_2024_07_19.csv,dispute_report_2024_07_19.csv,Adyen,TenMexMerEcom,TenLifManLim,TenUKMoto,XLWZF42WM3GZ2C32,visa,2024-07-19,2024-07-19 16:26:32,BST,2024-08-06 16:26:32,BST,1176.72,GBP,1491.22,0.7891,visa,12.6.1,Chargeback,BW7524DBWMSKN3X3,Duplicate Processing,40,2024-06-26 01:25:22,BST,1176.72,Moto,,,,DO,473883,,,1,3,False
Adyen/TenMexMerEcom/dispute_report_2024_05_22.csv,dispute_report_2024_05_22.csv,Adyen,TenMexMerEcom,TenLifManLim,TenUK1_USD,JK2PCNSWFXNQ4932,mc,2024-05-22,2024-05-22 01:32:00,BST,2024-07-01 01:32:00,BST,89.85,EUR,98.47,0.9125,mc,4837,NotificationOfChargeback,DP959QCP2HQDPPH2,No Cardholder Authorisation,15,2024-02-23 10:05:56,GMT,89.85,Ecommerce,US,,,MY,552115,,,1,3,False
Adyen/TenMexMerEcom/dispute_report_2024_05_22.csv,dispute_report_2024_05_22.csv,Adyen,TenMexMerEcom,TenLifManLim,TenUK1_USD,JK2PCNSWFXNQ4932,mc,2024-05-22,2024-05-22 01:32:00,BST,2024-07-01 01:32:00,BST,89.85,GBP,117.36,0.7656,mc,4837,Chargeback,DP959QCP2HQDPPH2,No Cardholder Authorisation,15,2024-02-23 10:05:56,GMT,89.85,Ecommerce,US,,,MY,552115,,,1,3,False
Adyen/TenMexMerEcom/dispute_report_2024_12_06.csv,dispute_report_2024_12_06.csv,Adyen,TenMexMerEcom,TenLifManLim,TenUSAMerMoto,LCK6ZGQ9BPTKG3X3,mc,2024-12-06,2024-12-06 14:26:08,GMT,2025-05-06 18:20:43,BST,176.3,JPY,1.21,146.27,mc,0,NotificationOfFraud,TNGB8MTPD4HJKBX3,Lost Fraud,0,2024-11-06 18:20:43,GMT,176.3,Moto,CO,,,US,515676,,,1,0,False
Adyen/TenMexMerEcom/dispute_report_2024_12_06.csv,dispute_report_2024_12_06.csv,Adyen,TenMexMerEcom,TenLifManLim,TenUSAMerMoto,PLDRZK5ST3JNLNF3,mc,2024-12-06,2024-12-06 14:26:17,GMT,2025-05-06 18:51:59,BST,176.3,JPY,1.21,146.27,mc,0,NotificationOfFraud,F6C8MVVR8DG96JX3,Lost Fraud,0,2024-11-06 18:51:59,GMT,176.3,Moto,CO,,,US,515676,,,1,0,False
Adyen/TenMexMerEcom/dispute_report_2024_06_28.csv,dispute_report_2024_06_28.csv,Adyen,TenMexMerEcom,TenLifManLim,TenUKMoto,C36CSF4C296R8HG2,mc,2024-06-28,2024-06-28 06:31:38,BST,2024-08-07 06:31:38,BST,460.13,JPY,3.2,143.77,mc,4853,NotificationOfChargeback,S7ZZQX44RC8X3SG2,Cardholder dispute,25,2024-05-25 00:10:11,BST,460.13,Moto,,,,US,515676,,,1,6,False
Adyen/TenMexMerEcom/dispute_report_2024_06_28.csv,dispute_report_2024_06_28.csv,Adyen,TenMexMerEcom,TenLifManLim,TenUKMoto,C36CSF4C296R8HG2,mc,2024-06-28,2024-06-28 06:31:38,BST,2024-08-07 06:31:38,BST,460.13,JPY,3.2,143.77,mc,4853,Chargeback,S7ZZQX44RC8X3SG2,Cardholder dispute,25,2024-05-25 00:10:11,BST,460.13,Moto,,,,US,515676,,,1,6,False
Adyen/TenMexMerEcom/dispute_report_2024_11_18.csv,dispute_report_2024_11_18.csv,Adyen,TenMexMerEcom,TenLifManLim,TenUKMoto,S2WDR864BLSZ9ZX3,mc,2024-11-18,2024-11-07 16:07:25,GMT,2024-12-17 16:07:25,GMT,204.5,USD,204.5,1.0,mc,4837,Chargeback,PBFLJVNGVXTWPHZ3,No Cardholder Authorisation,0,2024-10-18 10:27:08,BST,204.5,Moto,ZA,,,GB,545140,,,1,0,False
Adyen/TenMexMerEcom/dispute_report_2024_06_03.csv,dispute_report_2024_06_03.csv,Adyen,TenMexMerEcom,TenLifManLim,TenCHMoto,NTXWLJG79HBLX453,mc,2024-06-03,2024-06-03 06:01:51,BST,2024-07-13 06:01:51,BST,3078.26,JPY,20.79,148.08,mc,4837,NotificationOfChargeback,VSF222PX83CCH4G2,No Cardholder Authorisation,40,2024-05-02 14:50:51,BST,2808.76,Moto,,,,AE,537707,,,1,3,False
Adyen/TenMexMerEcom/dispute_report_2024_06_03.csv,dispute_report_2024_06_03.csv,Adyen,TenMexMerEcom,TenLifManLim,TenBR1,X2MD7CZ5W2L9JZW3,mc,2024-06-03,2024-05-04 10:17:03,BST,2024-06-13 10:17:03,BST,3468.06,JPY,23.42,148.08,mc,4860,Chargeback,S3P4BGCTPVWXVT32,Credit not Processed,40,2024-04-23 11:59:40,BST,3468.06,Ecommerce,BR,,,BR,548083,Y,,1,7,False
Adyen/TenMexMerEcom/dispute_report_2024_06_17.csv,dispute_report_2024_06_17.csv,Adyen,TenMexMerEcom,TenLifManLim,TenUK1_USD,RK5FBD6F83PH2C52,mc,2024-06-17,2024-06-13 01:32:01,BST,2024-07-23 01:32:01,BST,295.47,EUR,312.93,0.9442,mc,4853,ChargebackReversed,CML7MBH993CCH4G2,Cardholder dispute,25,2024-05-20 20:28:47,BST,295.47,Ecommerce,US,,,US,546630,C,Y,1,6,True
Adyen/TenMexMerEcom/dispute_report_2024_11_27.csv,dispute_report_2024_11_27.csv,Adyen,TenMexMerEcom,TenLifManLim,TenBR1,H4LRQCC6GSZC62X3,visa,2024-11-27,2024-11-08 14:02:12,GMT,2024-11-26 14:02:12,GMT,8862.97,GBP,11611.38,0.7633,visa,13.1,Chargeback,DNS5HTTZ6G78M8X3,Merchandise/Services Not Received,75,2024-09-17 04:38:59,BST,8862.97,Ecommerce,BR,,,BR,422007,C,Y,1,3,False
Adyen/TenMexMerEcom/dispute_report_2024_06_13.csv,dispute_report_2024_06_13.csv,Adyen,TenMexMerEcom,TenLifManLim,TenUK1_USD,RK5FBD6F83PH2C52,mc,2024-06-13,2024-06-13 01:32:01,BST,2024-07-23 01:32:01,BST,295.47,GBP,383.53,0.7704,mc,4853,NotificationOfChargeback,CML7MBH993CCH4G2,Cardholder dispute,25,2024-05-20 20:28:47,BST,295.47,Ecommerce,US,,,US,546630,C,Y,1,6,True
Adyen/TenMexMerEcom/dispute_report_2024_06_13.csv,dispute_report_2024_06_13.csv,Adyen,TenMexMerEcom,TenLifManLim,TenUK1_USD,RK5FBD6F83PH2C52,mc,2024-06-13,2024-06-13 01:32:01,BST,2024-07-23 01:32:01,BST,295.47,JPY,1.99,148.38,mc,4853,InformationSupplied,CML7MBH993CCH4G2,Cardholder dispute,25,2024-05-20 20:28:47,BST,295.47,Ecommerce,US,,,US,546630,C,Y,1,6,True
Adyen/TenMexMerEcom/dispute_report_2024_06_13.csv,dispute_report_2024_06_13.csv,Adyen,TenMexMerEcom,TenLifManLim,TenUK1_USD,RK5FBD6F83PH2C52,mc,2024-06-13,2024-06-13 01:32:01,BST,2024-07-23 01:32:01,BST,295.47,JPY,1.99,148.38,mc,4853,Chargeback,CML7MBH993CCH4G2,Cardholder dispute,25,2024-05-20 20:28:47,BST,295.47,Ecommerce,US,,,US,546630,C,Y,1,6,True
Adyen/TenMexMerEcom/dispute_report_2024_06_06.csv,dispute_report_2024_06_06.csv,Adyen,TenMexMerEcom,TenLifManLim,TenCHMoto,NTXWLJG79HBLX453,mc,2024-06-06,2024-06-03 06:01:51,BST,2024-07-13 06:01:51,BST,3078.26,EUR,3352.13,0.9183,mc,4837,Chargeback,VSF222PX83CCH4G2,No Cardholder Authorisation,40,2024-05-02 14:50:51,BST,2808.76,Moto,,,,AE,537707,,,1,3,False
Adyen/TenMexMerEcom/dispute_report_2024_04_29.csv,dispute_report_2024_04_29.csv,Adyen,TenMexMerEcom,TenLifManLim,TenUK1_USD,RNDPJVX26KGTK2C2,mc,2024-04-29,2024-04-29 01:31:35,BST,2024-06-08 01:31:35,BST,79.68,JPY,0.56,141.62,mc,4837,NotificationOfChargeback,N4FTS2RLNM5DP4G2,No Cardholder Authorisation,75,2024-03-05 10:10:55,GMT,407.11,Ecommerce,MY,,,FR,528889,,,1,3,False
Adyen/TenMexMerEcom/dispute_report_2024_04_29.csv,dispute_report_2024_04_29.csv,Adyen,TenMexMerEcom,TenLifManLim,TenUK1_USD,F9V2LLBC7HBLX453,mc,2024-04-29,2024-04-29 01:31:36,BST,2024-06-08 01:31:36,BST,81.9,USD,81.9,1.0,mc,4837,NotificationOfChargeback,L5FTS2RLNM5DP4G2,No Cardholder Authorisation,35,2024-03-05 09:57:45,GMT,418.44,Ecommerce,MY,,,FR,528889,,,1,3,False
Adyen/TenMexMerEcom/dispute_report_2024_04_29.csv,dispute_report_2024_04_29.csv,Adyen,TenMexMerEcom,TenLifManLim,TenUK1_USD,HF94BF5V5LN95B53,mc,2024-04-29,2024-04-29 01:31:37,BST,2024-06-08 01:31:37,BST,74.72,GBP,93.54,0.7988,mc,4837,NotificationOfChargeback,T5FTS2RLNM5DP4G2,No Cardholder Authorisation,60,2024-03-05 10:04:03,GMT,381.78,Ecommerce,MY,,,FR,528889,,,1,3,False
Adyen/TenMexMerEcom/dispute_report_2024_04_29.csv,dispute_report_2024_04_29.csv,Adyen,TenMexMerEcom,TenLifManLim,TenUK1_USD,F9V2LLBC7HBLX453,mc,2024-04-29,2024-04-29 01:31:36,BST,2024-06-08 01:31:36,BST,81.9,JPY,0.58,141.62,mc,4837,Chargeback,L5FTS2RLNM5DP4G2,No Cardholder Authorisation,35,2024-03-05 09:57:45,GMT,418.44,Ecommerce,MY,,,FR,528889,,,1,3,False
Adyen/TenMexMerEcom/dispute_report_2024_04_29.csv,dispute_report_2024_04_29.csv,Adyen,TenMexMerEcom,TenLifManLim,TenUK1_USD,RNDPJVX26KGTK2C2,mc,2024-04-29,2024-04-29 01:31:35,BST,2024-06-08 01:31:35,BST,79.68,EUR,85.24,0.9348,mc,4837,Chargeback,N4FTS2RLNM5DP4G2,No Cardholder Authorisation,75,2024-03-05 10:10:55,GMT,407.11,Ecommerce,MY,,,FR,528889,,,1,3,False
Adyen/TenMexMerEcom/dispute_report_2024_04_29.csv,dispute_report_2024_04_29.csv,Adyen,TenMexMerEcom,TenLifManLim,TenUK1_USD,HF94BF5V5LN95B53,mc,2024-04-29,2024-04-29 01:31:37,BST,2024-06-08 01:31:37,BST,74.72,USD,74.72,1.0,mc,4837,Chargeback,T5FTS2RLNM5DP4G2,No Cardholder Authorisation,60,2024-03-05 10:04:03,GMT,381.78,Ecommerce,MY,,,FR,528889,,,1,3,False
Adyen/TenMexMerEcom/dispute_report_2024_11_08.csv,dispute_report_2024_11_08.csv,Adyen,TenMexMerEcom,TenLifManLim,TenBR1,H4LRQCC6GSZC62X3,visa,2024-11-08,2024-11-08 14:02:12,GMT,2024-11-26 14:02:12,GMT,8862.97,JPY,61.56,143.97,visa,13.1,NotificationOfChargeback,DNS5HTTZ6G78M8X3,Merchandise/Services Not Received,75,2024-09-17 04:38:59,BST,8862.97,Ecommerce,BR,,,BR,422007,C,Y,1,3,False
Adyen/TenMexMerEcom/dispute_report_2024_06_04.csv,dispute_report_2024_06_04.csv,Adyen,TenMexMerEcom,TenLifManLim,TenBR2MOTO,XT69RXB2752B7F32,mc,2024-06-04,2024-06-04 09:16:39,BST,2024-07-14 09:16:39,BST,3110.52,EUR,3435.52,0.9054,mc,4834,NotificationOfChargeback,DBNRZHPZ83CCH4G2,Duplicate Processing,80,2024-05-09 01:49:55,BST,3110.52,Moto,,,,BR,523431,,,1,3,False
Adyen/TenMexMerEcom/dispute_report_2024_04_25.csv,dispute_report_2024_04_25.csv,Adyen,TenMexMerEcom,TenLifManLim,TenUK1_USD,MT3P7WCN4NNNWPG2,visa,2024-04-25,2024-04-23 16:11:06,BST,2024-05-11 16:11:06,BST,73.41,JPY,0.5,147.1,visa,10.4,Chargeback,B79NBHBN73CCH4G2,Other Fraud-Card Absent Environment,50,2024-03-06 17:43:44,GMT,79.57,Ecommerce,BR,,,FR,497707,,,1,3,False
Adyen/TenMexMerEcom/dispute_report_2024_04_19.csv,dispute_report_2024_04_19.csv,Adyen,TenMexMerEcom,TenLifManLim,TenUK1_USD,LS3GZ658V3MGX632,mc,2024-04-19,2024-03-16 09:32:52,GMT,2024-04-25 09:32:52,BST,129.19,EUR,139.59,0.9255,mc,4853,SecondChargeback,WZHDJQ2G63CCH4G2,Cardholder dispute,0,2024-02-23 22:49:47,GMT,129.19,Ecommerce,US,,,US,521307,,,1,7,True
Adyen/TenMexMerEcom/dispute_report_2024_11_05.csv,dispute_report_2024_11_05.csv,Adyen,TenMexMerEcom,TenLifManLim,TenBR1,T7G4WJT28SVBXDF6,mc,2024-11-05,2024-10-08 09:34:32,BST,2024-11-17 09:34:32,GMT,7406.67,EUR,8125.8,0.9115,mc,4860,Chargeback,TPS6RX7BL34V9HZ3,Credit not Processed,50,2024-09-09 16:37:44,BST,7406.67,Ecommerce,BR,,,BR,522840,C,Y,1,7,False
Adyen/TenMexMerEcom/dispute_report_2024_04_30.csv,dispute_report_2024_04_30.csv,Adyen,TenMexMerEcom,TenLifManLim,TenUK1_USD,G9KW3225DKLH4FG2,mc,2024-04-30,2024-04-30 01:31:42,BST,2024-06-09 01:31:42,BST,126.82,GBP,162.67,0.7796,mc,4837,NotificationOfChargeback,DJ37Q5NMNM5DP4G2,No Cardholder Authorisation,75,2024-02-07 19:03:04,GMT,646.5,Ecommerce,MY,,,DE,540187,,,1,3,False
Adyen/TenMexMerEcom/dispute_report_2024_04_30.csv,dispute_report_2024_04_30.csv,Adyen,TenMexMerEcom,TenLifManLim,TenUK1_USD,ML2KZJQQZRB99VB2,mc,2024-04-30,2024-04-30 01:31:42,BST,2024-06-09 01:31:42,BST,123.07,USD,123.07,1.0,mc,4837,NotificationOfChargeback,NJ37Q5NMNM5DP4G2,No Cardholder Authorisation,50,2024-02-07 18:45:47,GMT,627.4,Ecommerce,MY,,,DE,540187,,,1,3,False
